
scene_id,play_id,scene_number,setting,description,created_at,updated_at
1,1,1,A dark forest,The opening scene of the play takes place in a dark and mysterious forest,2020-10-01 11:00:00,2020-10-01 11:00:00
2,1,2,A castle,The scene takes place in a grand castle,2020-10-01 11:00:00,2020-10-01 11:00:00
3,1,3,A beach,The characters find themselves on a beach,2020-10-01 11:00:00,2020-10-01 11:00:00
4,1,4,A small village,The characters find themselves in a small village,2020-10-01 11:00:00,2020-10-01 11:00:00
5,1,5,A mountain peak,The characters must climb to the top of a mountain peak,2020-10-01 11:00:00,2020-10-01 11:00:00
6,2,1,A dark cave,The opening scene of the play takes place in a dark and mysterious cave,2020-10-01 11:00:00,2020-10-01 11:00:00
7,2,2,A meadow,The scene takes place in a meadow full of wildflowers,2020-10-01 11:00:00,2020-10-01 11:00:00
8,2,3,A desert,The characters find themselves in a desert,2020-10-01 11:00:00,2020-10-01 11:00:00
9,2,4,A busy city,The characters find themselves in a bustling city,2020-10-01 11:00:00,2020-10-01 11:00:00
10,2,5,An island,The characters must find their way to an isolated island,2020-10-01 11:00:00,2020-10-01 11:00:00
11,3,1,A haunted mansion,The opening scene of the play takes place in a haunted mansion,2020-10-01 11:00:00,2020-10-01 11:00:00
12,3,2,A graveyard,The scene takes place in a graveyard,2020-10-01 11:00:00,2020-10-01 11:00:00
13,3,3,An abandoned factory,The characters find themselves in an abandoned factory,2020-10-01 11:00:00,2020-10-01 11:00:00
14,3,4,A magical forest,The characters find themselves in a magical forest,2020-10-01 11:00:00,2020-10-01 11:00:00
15,3,5,A mysterious castle,The characters must explore a mysterious castle,2020-10-01 11:00:00,2020-10-01 11:00:00
16,4,1,A dark alley,The opening scene of the play takes place in a dark alley,2020-10-01 11:00:00,2020-10-01 11:00:00
17,4,2,A circus tent,The scene takes place in a circus tent,2020-10-01 11:00:00,2020-10-01 11:00:00
18,4,3,A haunted house,The characters find themselves in a haunted house,2020-10-01 11:00:00,2020-10-01 11:00:00
19,4,4,A secret laboratory,The characters find themselves in a secret laboratory,2020-10-01 11:00:00,2020-10-01 11:00:00
20,4,5,A hidden temple,The characters must explore a hidden temple,2020-10-01 11:00:00,2020-10-01 11:00:00
