
Judge ID,Judge Name,Court Name,Qualifications,Background,Timestamp
1,Mandy Johnson,Supreme Court,JD,Criminal Law,2020-10-01 00:00:00
2,Adam Smith,Supreme Court,JD,Business Law,2020-10-01 00:00:00
3,Cathy White,Supreme Court,JD,Family Law,2020-10-01 00:00:00
4,John Wilson,Supreme Court,JD,Environmental Law,2020-10-01 00:00:00
5,Lisa Brown,Supreme Court,JD,Tax Law,2020-10-01 00:00:00
6,James Anderson,Supreme Court,JD,Civil Law,2020-10-01 00:00:00
7,Karen Jones,Supreme Court,JD,Employment Law,2020-10-01 00:00:00
8,Brian Miller,Supreme Court,JD,Contract Law,2020-10-01 00:00:00
9,Sandra Taylor,Supreme Court,JD,Intellectual Property Law,2020-10-01 00:00:00
10,David Williams,Supreme Court,JD,Immigration Law,2020-10-01 00:00:00
11,Alice Wilson,Appellate Court,JD,Criminal Law,2020-10-01 00:00:00
12,Mark Johnson,Appellate Court,JD,Business Law,2020-10-01 00:00:00
13,Paul White,Appellate Court,JD,Family Law,2020-10-01 00:00:00
14,Mary Anderson,Appellate Court,JD,Environmental Law,2020-10-01 00:00:00
15,Nancy Brown,Appellate Court,JD,Tax Law,2020-10-01 00:00:00
16,Jeff Jones,Appellate Court,JD,Civil Law,2020-10-01 00:00:00
17,Brian Miller,Appellate Court,JD,Employment Law,2020-10-01 00:00:00
18,Sandra Taylor,Appellate Court,JD,Contract Law,2020-10-01 00:00:00
19,David Williams,Appellate Court,JD,Intellectual Property Law,2020-10-01 00:00:00
20,Alice Wilson,Appellate Court,JD,Immigration Law,2020-10-01 00:00:00
