
Item Name,Price,Date of Price Change,Region,Timestamp
Apple,2.50,2020-07-01,North America,2020-07-10T12:00:00
Banana,1.00,2020-07-01,Europe,2020-07-10T12:00:00
Orange,3.00,2020-07-01,Asia,2020-07-10T12:00:00
Strawberry,4.00,2020-07-01,Africa,2020-07-10T12:00:00
Grape,2.00,2020-07-01,Australia,2020-07-10T12:00:00
Kiwi,1.50,2020-07-01,North America,2020-07-10T12:00:00
Mango,2.50,2020-07-01,Europe,2020-07-10T12:00:00
Pineapple,3.00,2020-07-01,Asia,2020-07-10T12:00:00
Cherry,4.00,2020-07-01,Africa,2020-07-10T12:00:00
Watermelon,2.00,2020-07-01,Australia,2020-07-10T12:00:00
Blueberry,1.50,2020-07-01,North America,2020-07-10T12:00:00
Raspberry,2.50,2020-07-01,Europe,2020-07-10T12:00:00
Peach,3.00,2020-07-01,Asia,2020-07-10T12:00:00
Lemon,4.00,2020-07-01,Africa,2020-07-10T12:00:00
Avocado,2.00,2020-07-01,Australia,2020-07-10T12:00:00
Lychee,1.50,2020-07-01,North America,2020-07-10T12:00:00
Durian,2.50,2020-07-01,Europe,2020-07-10T12:00:00
Plum,3.00,2020-07-01,Asia,2020-07-10T12:00:00
Papaya,4.00,2020-07-01,Africa,2020-07-10T12:00:00
