
Gift ID,Party ID,Gift Description,Price Range,Purchaser
1,1,Spa Gift Certificate,$50-$75,Emma
2,1,Chocolate Fondue Set,$25-$50,Mandy
3,1,Wine and Cheese Tasting Kit,$50-$75,Hannah
4,2,Manicure and Pedicure Set,$25-$50,Samantha
5,2,Gourmet Chocolate Truffles,$25-$50,Olivia
6,2,Cheese Board and Knife Set,$50-$75,Claire
7,3,Gourmet Coffee Gift Basket,$50-$75,Grace
8,3,Flower Arrangement,$25-$50,Molly
9,3,Spa Gift Certificate,$50-$75,Ava
10,4,Chocolate Fondue Set,$25-$50,Isabel
11,4,Wine and Cheese Tasting Kit,$50-$75,Emily
12,4,Manicure and Pedicure Set,$25-$50,Lauren
13,5,Gourmet Chocolate Truffles,$25-$50,Victoria
14,5,Cheese Board and Knife Set,$50-$75,Abigail
15,5,Gourmet Coffee Gift Basket,$50-$75,Julia
16,6,Flower Arrangement,$25-$50,Katherine
17,6,Spa Gift Certificate,$50-$75,Anna
18,6,Chocolate Fondue Set,$25-$50,Alexa
19,7,Wine and Cheese Tasting Kit,$50-$75,Sarah
20,7,Manicure and Pedicure Set,$25-$50,Elizabeth
