

policy_id,policy_name,policy_description,policy_date,policy_status,timestamp
1,Belt and Road Initiative,A massive infrastructure and investment project aimed at increasing connectivity between China and other countries,2013-09-07,Implemented,2013-09-07 00:00:00
2,Made in China 2025,A plan to upgrade Chinese industry to become a global leader in high-tech industries,2015-05-19,Implemented,2015-05-19 00:00:00
3,Supply-Side Reforms,A series of economic reforms aimed at improving the supply-side of the Chinese economy,2015-11-05,Implemented,2015-11-05 00:00:00
4,Anti-Corruption Campaign,A campaign to root out corruption and increase transparency in the Chinese government,2012-12-22,Implemented,2012-12-22 00:00:00
5,Regional Comprehensive Economic Partnership,A free trade agreement between China and the Association of Southeast Asian Nations,2020-11-15,Proposed,2020-11-15 00:00:00
6,National Security Law,A law to protect China's national security in Hong Kong,2020-06-30,Implemented,2020-06-30 00:00:00
7,Greater Bay Area Initiative,A plan to integrate the economies of Hong Kong, Macau and nine cities in Guangdong Province,2017-03-16,Implemented,2017-03-16 00:00:00
8,One Country, Two Systems,A policy to guarantee the autonomy of Hong Kong and Macau,2012-12-20,Implemented,2012-12-20 00:00:00
9,China-Pakistan Economic Corridor,A $46 billion infrastructure and investment project in Pakistan,2015-04-20,Implemented,2015-04-20 00:00:00
10,Foreign Investment Law,A law to encourage foreign investment in China,2019-03-15,Implemented,2019-03-15 00:00:00
11,Tax and Fee Reduction Plan,A plan to reduce taxes and fees for Chinese businesses,2018-12-31,Implemented,2018-12-31 00:00:00
12,Cultural Revolution 2.0,A plan to promote Chinese culture and values abroad,2017-05-15,Proposed,2017-05-15 00:00:00
13,Social Credit System,A system to monitor and reward citizens for following the law,2014-06-28,Implemented,2014-06-28 00:00:00
14,Reform of State-Owned Enterprises,A plan to reform state-owned enterprises and make them more efficient,2015-03-10,Implemented,2015-03-10 00:00:00
15,China-Africa Cooperation Forum,A forum to promote economic and political cooperation between China and African nations,2018-09-03,Implemented,2018-09-03 00:00:00
16,Environmental Protection Law,A law to protect the environment and combat pollution,2014-12-27,Implemented,2014-12-27 00:00:00
17,China-Russia Investment Fund,A $10 billion investment fund to promote economic cooperation between China and Russia,2014-06-04,Implemented,2014-06-04 00:00:00
18,New Urbanization Plan,A plan to promote the development of cities and urban areas,2014-03-15,Implemented,2014-03-15 00:00:00
19,State Council Reform Plan,A plan to streamline the Chinese government and make it more efficient,2017-03-17,Implemented,2017-03-17 00:00:00
20,Internet Plus,A plan to promote the integration of the internet and traditional industries,2015-07-16,Implemented,2015-07-16 00:00:00
