
Vehicle_ID,Manufacturer,Model,Year,Fuel_Type,Fuel_Efficiency,Maximum_Load,Timestamps
1,Ford,F-150,2016,Diesel,25MPG,3000lbs,1599184800
2,Chevrolet,Silverado,2018,Gasoline,20MPG,2000lbs,1599184860
3,Toyota,Tacoma,2017,Diesel,30MPG,2500lbs,1599184920
4,GMC,Sierra,2019,Gasoline,18MPG,1500lbs,1599184980
5,Ford,Ranger,2020,Diesel,35MPG,2000lbs,1599185040
6,Honda,Ridgeline,2016,Gasoline,22MPG,2500lbs,1599185100
7,Toyota,Tundra,2018,Diesel,27MPG,3000lbs,1599185160
8,Chevrolet,Colorado,2019,Gasoline,19MPG,1500lbs,1599185220
9,Ford,F-250,2020,Diesel,32MPG,2000lbs,1599185281
10,GMC,Canyon,2016,Gasoline,21MPG,2500lbs,1599185341
11,Honda,Pilot,2018,Diesel,29MPG,3000lbs,1599185402
12,Toyota,Highlander,2019,Gasoline,17MPG,1500lbs,1599185464
13,Chevrolet,Suburban,2020,Diesel,34MPG,2000lbs,1599185525
14,GMC,Yukon,2016,Gasoline,20MPG,2500lbs,1599185586
15,Ford,Expedition,2018,Diesel,28MPG,3000lbs,1599185647
16,Honda,CR-V,2019,Gasoline,18MPG,1500lbs,1599185708
17,Toyota,4Runner,2020,Diesel,36MPG,2000lbs,1599185769
18,Chevrolet,Traverse,2016,Gasoline,23MPG,2500lbs,1599185830
19,GMC,Acadia,2018,Diesel,31MPG,3000lbs,1599185891
20,Ford,Explorer,2019,Gasoline,16MPG,1500lbs,1599185952
