
Firm Name,Address,List of Attorneys,Specializations,Timestamp
Rosenberg & Associates,1525 Main Street,John Smith,Corporate Law,2020-09-01
Cohen & Associates,2030 Main Street,Jane Doe,Criminal Law,2020-09-02
Klein & Co,2535 Main Street,John Smith,Tax Law,2020-09-03
Lambert & Co,3045 Main Street,Jane Doe,Family Law,2020-09-04
Kendall & Co,3555 Main Street,John Smith,Contract Law,2020-09-05
Friedman & Associates,4065 Main Street,Jane Doe,Immigration Law,2020-09-06
Harris & Co,4575 Main Street,John Smith,Employment Law,2020-09-07
Bauer & Associates,5085 Main Street,Jane Doe,Estate Planning,2020-09-08
Crawford & Co,5595 Main Street,John Smith,Real Estate Law,2020-09-09
Cox & Associates,6105 Main Street,Jane Doe,Intellectual Property Law,2020-09-10
Webb & Co,6615 Main Street,John Smith,Bankruptcy Law,2020-09-11
Baker & Associates,7125 Main Street,Jane Doe,Personal Injury Law,2020-09-12
Stone & Co,7635 Main Street,John Smith,Medical Malpractice Law,2020-09-13
Fisher & Associates,8145 Main Street,Jane Doe,Environmental Law,2020-09-14
Henderson & Co,8655 Main Street,John Smith,Civil Rights Law,2020-09-15
Dawson & Associates,9165 Main Street,Jane Doe,Consumer Protection Law,2020-09-16
Meyer & Co,9675 Main Street,John Smith,Business Law,2020-09-17
Richardson & Associates,10185 Main Street,Jane Doe,Animal Law,2020-09-18
Bell & Co,10695 Main Street,John Smith,Sports Law,2020-09-19
Fletcher & Associates,11205 Main Street,Jane Doe,International Law,2020-09-20
