

Attorney ID,Attorney Name,Firm Name,Qualifications,Background,Timestamp
1,John Smith,Smith & Associates,JD,Criminal Law,2021-03-01 08:00:00
2,Jane Doe,Doe & Co,JD,Corporate Law,2021-03-01 08:10:00
3,Max Jones,Jones & Co,JD,Tax Law,2021-03-01 08:20:00
4,Samantha Wilson,Wilson & Associates,JD,Family Law,2021-03-01 08:30:00
5,Bob Anderson,Anderson & Co,JD,Immigration Law,2021-03-01 08:40:00
6,Karen Johnson,Johnson & Associates,JD,Intellectual Property Law,2021-03-01 08:50:00
7,Steven Brown,Brown & Co,JD,Real Estate Law,2021-03-01 09:00:00
8,Rachel Davis,Davis & Associates,JD,Employment Law,2021-03-01 09:10:00
9,Matthew Taylor,Taylor & Co,JD,Civil Law,2021-03-01 09:20:00
10,Elizabeth Moore,Moore & Associates,JD,Estate Planning,2021-03-01 09:30:00
11,James Thompson,Thompson & Co,JD,Bankruptcy Law,2021-03-01 09:40:00
12,Joseph White,White & Associates,JD,Contract Law,2021-03-01 09:50:00
13,Katherine Martin,Martin & Co,JD,Health Care Law,2021-03-01 10:00:00
14,Brian Harris,Harris & Associates,JD,Environmental Law,2021-03-01 10:10:00
15,Lauren Phillips,Phillips & Co,JD,Business Law,2021-03-01 10:20:00
16,Ryan Edwards,Edwards & Associates,JD,Sports Law,2021-03-01 10:30:00
17,Amanda Turner,Turner & Co,JD,Entertainment Law,2021-03-01 10:40:00
18,William Parker,Parker & Associates,JD,International Law,2021-03-01 10:50:00
19,Patricia Lewis,Lewis & Co,JD,Labor Law,2021-03-01 11:00:00
20,Joshua Green,Green & Associates,JD,Securities Law,2021-03-01 11:10:00
